usuario,ingredientes,receta,instrucciones
ramiro,"zanahoria, apio, cebolla, papa", Crema de Zanahoria, 1. Hierve los vegetales. 2. LicÃºa con caldo. 3. Sirvelo caliente.
ramir,"platanos, yuca",,
ramir,"platanos, yuca",,
ramir,yuca, Crema de Zanahoria, 1. Hierve los vegetales. 2. LicÃºa con caldo. 3. Sirvelo caliente.
ramir,"pollo, tomate, cebolla",Jocón,Cocer el pollo. Asar y licuar vegetales y cilantro. Agregar la mezcla al caldo con masa disuelta. Cocinar hasta espesar.
ramir,"pollo, cebolla, ajo",Jocón,Cocer el pollo. Asar y licuar vegetales y cilantro. Agregar la mezcla al caldo con masa disuelta. Cocinar hasta espesar.
ramir,"pollo, cebolla, ajo, cilantro",Jocón,"1. Cocer el pollo.
2. Asar y licuar vegetales y cilantro.
3. Agregar la mezcla al caldo con masa disuelta.
4. Cocinar hasta espesar."
ramir,"pavo, tomate, cebolla, ajo, cilantro",Jocón,"
1. Cocer el pollo.
2. Asar y licuar vegetales y cilantro.
3. Agregar la mezcla al caldo con masa disuelta.
4. Cocinar hasta espesar."
ramir,"pavo, tomate, cebolla, ajo, cilantro, miltomate",Jocón,"
1. Cocer el pollo.
2. Asar y licuar vegetales y cilantro.
3. Agregar la mezcla al caldo con masa disuelta.
4. Cocinar hasta espesar."
ramir,"pavo, tomate, cebolla, ajo, cilantro, miltomate",Jocón,"
1. Cocer el pollo.
2. Asar y licuar vegetales y cilantro.
3. Agregar la mezcla al caldo con masa disuelta.
4. Cocinar hasta espesar."
ramir,"pavo, tomate, cebolla, ajo, cilantro, miltomate",Jocón,"
1. Cocer el pollo.
2. Asar y licuar vegetales y cilantro.
3. Agregar la mezcla al caldo con masa disuelta.
4. Cocinar hasta espesar."
ramir,"pavo, tomate, cebolla, ajo, cilantro, miltomate",Jocón,"
1. Cocer el pollo.
2. Asar y licuar vegetales y cilantro.
3. Agregar la mezcla al caldo con masa disuelta.
4. Cocinar hasta espesar."
ramir,"pavo, tomate, cebolla, ajo, cilantro, miltomate",Jocón,"
1. Cocer el pollo.
2. Asar y licuar vegetales y cilantro.
3. Agregar la mezcla al caldo con masa disuelta.
4. Cocinar hasta espesar."
ramir,"pavo, tomate, cebolla, ajo, cilantro, miltomate",Jocón,"
1. Cocer el pollo.
2. Asar y licuar vegetales y cilantro.
3. Agregar la mezcla al caldo con masa disuelta.
4. Cocinar hasta espesar."
ramir,"pavo, tomate, cebolla, ajo, cilantro, miltomate",Jocón,"
1. Cocer el pollo.
2. Asar y licuar vegetales y cilantro.
3. Agregar la mezcla al caldo con masa disuelta.
4. Cocinar hasta espesar."
ramir,"pavo, tomate, cebolla, ajo, cilantro, miltomate",Jocón,"
1. Cocer el pollo.
2. Asar y licuar vegetales y cilantro.
3. Agregar la mezcla al caldo con masa disuelta.
4. Cocinar hasta espesar."
ramiro,"pavo, tomate, miltomate",Kak'ik,"
1. Cocer el pavo con sal.
2. Asar tomates, miltomates y chiles.
3. Licuar todo, colar y cocinar con achiote.
4. Agregar al caldo y hervir con el pavo."
ramiro,pollo,Jocón,"
1. Cocer el pollo.
2. Asar y licuar vegetales y cilantro.
3. Agregar la mezcla al caldo con masa disuelta.
4. Cocinar hasta espesar."
ramir,"pasta, tomate, albahaca",Pasta al Pesto,"
1. Licúa albahaca, ajo y queso.
2. Mezcla con pasta cocida.
3. Añade tomate picado."
rober,"chocolate, leche, canela",Chocolate Caliente,"
1. Hierve la leche.
2. Disuelve el chocolate en la leche hirviendo y añade canela en raja.
3. Mueve el chocolate por 15 minutos y sirve."
rober,"yuca, elote, guicoy, papa",Caldo de Res,"
1. Lavar, pelar y cortar en trozos las verduras.
2. En una olla de presion de 7 libras, agregar 2 libras de carne y las verduras.
3. Agregar un cuarto de chile pimiento en trozos, una cebolla pequeña y un tomate cortados en trozos pequeños.
4. Poner al fuego la olla y empezar a tomar el tiempo cuando empiece a silvar.
5. 20 minutos despues de que empieze a silvar se apaga el fuego y esperar a que la olla saque la presion, mientras tanto lavar y picar el cilantro.
6. Echar el cilantro en la olla y dejar hervir un par de minutos."
ramir,"elote, yuca, papa",Chiles rellenos,"
1. Rellenar los chiles con carne y vegetales cocidos.
2. Capear con huevo y freír.
3. Servir con salsa de tomate."
ramir,"elote, yuca, papa",Chiles rellenos,"
1. Rellenar los chiles con carne y vegetales cocidos.
2. Capear con huevo y freír.
3. Servir con salsa de tomate."
ramir,"elote, yuca, papa",Chiles rellenos,"
1. Rellenar los chiles con carne y vegetales cocidos.
2. Capear con huevo y freír.
3. Servir con salsa de tomate."
ramir,"elote, yuca, papa, carne",Caldo de Res,"
1. Lavar, pelar y cortar en trozos las verduras.
2. En una olla de presion de 7 libras, agregar 2 libras de carne y las verduras.
3. Agregar un cuarto de chile pimiento en trozos, una cebolla pequeña y un tomate cortados en trozos pequeños.
4. Poner al fuego la olla y empezar a tomar el tiempo cuando empiece a silvar.
5. 20 minutos despues de que empieze a silvar se apaga el fuego y esperar a que la olla saque la presion, mientras tanto lavar y picar el cilantro.
6. Echar el cilantro en la olla y dejar hervir un par de minutos."
